X,Y,OBJECTID,COMPKEY,TOILET_ID,PRIORITY,EXISTING,HOURS_OPEN_PER_DAY,TOILET_TYPE,ACCESS_ACTIVITY_LEVEL,NOTES,LOCATION_NAME,DESCRIPTION,LOCATION_LABEL,ADDRESS,CONTACT_DETAILS,WEBSITE_HYPERLINK,WHEELCHAIR_ACCESSIBLE,PRAM_ACCESSIBLE,EditDate
115.856933039,-31.9486072349999,1,,11,None,Yes,24,n/a,High,,ROE STREET CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.860645761,-31.951160823,2,,15,None,Yes,18,n/a,High,,CITI PLACE COMMUNITY CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.821051621,-31.98493214,3,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.854076507,-31.956301766,4,,31,None,Yes,18,n/a,High,,ELIZABETH QUAY BUS PORT,,,,,,,,2019/09/13 08:01:33+00
115.85096129,-31.951921781,5,,85,High,No,,Other,High,,QV1 PIAZZA,,,,,,,,2019/09/13 08:01:33+00
115.81301585,-31.9765951589999,6,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.845899156,-31.9440123539999,7,,66,,,,,Low,,CITIWEST,,,,,,,,2019/09/13 08:01:33+00
115.854329174,-31.95210615,8,,23,None,Yes,18,n/a,High,,HIS MAJESTY'S CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.858646762,-31.953445497,9,,79,,,,,High,,CARILLON,,,,,,,,2019/09/13 08:01:33+00
115.818283962,-31.9816081459999,10,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.858118591,-31.951912712,11,,75,,,,,High,,140 WILLIAM STREET,,,,,,,,2019/09/13 08:01:33+00
115.818506959,-31.9825491629999,12,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.820157863,-31.976637834,13,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.853357426,-31.952910421,14,,73,,,,,High,,CLOISTERS,,,,,,,,2019/09/13 08:01:33+00
115.82117444,-31.9830743109999,15,,41,,,,,Low,,MATILDA BAY RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.818513447,-31.978210363,16,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.823219,-31.9615439999999,17,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.866596211,-31.958200808,18,,53,High,No,,Other,High,,239 ADELAIDE TERRACE,,,,,,,,2019/09/13 08:01:33+00
115.819261051,-31.9811956149999,19,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.819313685,-31.980921001,20,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
