X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
507991.5737,6977807.984,1,200479102,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1866-N002,D0287,SHEPHERD PLACE PARK,SHORNCLIFFE,MAINS POWER,1,153.0807798,-27.32280268
496512.3856,6943885.454,2,100293721,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0169-N003,D2007,CASCADE DRIVE PARK (NO.20),FOREST LAKE,MAINS POWER,2,152.9646491,-27.62907349
500941.289,6975746.207,3,200488746,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0456-N001,D1576,PAT RAFTER PARK,CARSELDINE,MAINS POWER,1,153.0095163,-27.34143977
509630.0579,6946484.337,4,200482197,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0394-N001,D1551,SVOBODA PARK,KURABY,MAINS POWER,1,153.0975905,-27.6055815
504174.0685,6965054.257,5,200482213,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1978-N006,D0170,YOWOGGERA  PARK,ALBION,MAINS POWER,1,153.0422357,-27.43796162
498042.8982,6968971.364,6,200482228,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1716-N013,D0208,TERALBA PARK,EVERTON PARK,MAINS POWER,1,152.9802032,-27.40260276
495443.542,6964334.858,7,100268997,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1738-N004,D0160,WALTON BRIDGE RESERVE,THE GAP,MAINS POWER,2,152.9538923,-27.44445514
498776.9424,6953798.854,8,200472641,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2014-N005,D0311,NOSWORTHY PARK,CORINDA,MAINS POWER,2,152.987613,-27.53958085
494224.9799,6967899.571,9,100269338,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1531-N009,D0631,KEPERRA PICNIC GROUND PARK,FERNY GROVE,MAINS POWER,2,152.9415784,-27.41226815
505679.8977,6943625.749,10,200500405,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2077-N001,D1242,MING-SHAN PARK,CALAMVALE,MAINS POWER,1,153.0575733,-27.63141061
504743.9337,6970126.54,11,200500304,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1806-N001,D0016,RILATT PARK,WAVELL HEIGHTS,MAINS POWER,1,153.0479822,-27.39216688
506792.9379,6945155.369,12,100119694,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2560-N001,D1120,STRETTON COMMUNITY PARK,STRETTON,MAINS POWER,1,153.0688468,-27.6175964
517425.0244,6964634.493,13,200488161,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2628-N007,D0995,WYNNUM WADING POOL PARK,WYNNUM,MAINS POWER,1,153.1763225,-27.4416461
508430.3066,6973129.238,14,200489468,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2451-N002,D0759,SHOWGROUND PARK,NUDGEE,MAINS POWER,1,153.0852469,-27.36504043
504401.3993,6967789.017,15,200489542,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1493-N001,D0512,MELROSE PARK,WOOLOOWIN,MAINS POWER,2,153.0445261,-27.41327136
496246.7086,6953557.476,16,200483284,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0673-N013,D1845,ROCKS RIVERSIDE PARK,SEVENTEEN MILE ROCKS,MAINS POWER,2,152.9619863,-27.54175534
500881.9542,6977408.8,17,200486834,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1768-N003,D0219,JOHN STEWART MEMORIAL PARK,BALD HILLS,MAINS POWER,2,153.0089152,-27.32642964
499306.6003,6966248.791,18,200480359,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1710-N004,D0134,WILLMINGTON PARK,ALDERLEY,MAINS POWER,1,152.9929845,-27.42718354
511031.926,6953366.372,19,200480407,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1499-N002,D0434,BROADWATER PICNIC GROUND PARK,MANSFIELD,WOOD FIRED,1,153.111734,-27.5434409
503655.7901,6973316.35,20,200480410,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1764-N001,D0224,LEN TREZONA PARK,ZILLMERE,MAINS POWER,1,153.0369666,-27.36337229
498418.0673,6971310.401,21,200488376,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0093-N003,D2083,SUNSET PLACE PARK,MCDOWALL,MAINS POWER,1,152.9840012,-27.38148621
502488.9304,6964658.351,22,200488486,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1442-N001,D0492,DOWNEY PARK,WINDSOR,MAINS POWER,1,153.0251853,-27.44153999
502744.4492,6945333.931,23,200488506,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1559-N005,D0678,COL BENNET PARK,ALGESTER,MAINS POWER,2,153.0278147,-27.61599867
514864.4998,6959668.92,24,200488532,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0459-N005,D1572,WAKERLEY PARK,WAKERLEY,MAINS POWER,1,153.1504737,-27.4865055
510725.1971,6958512.504,25,200472224,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1590-N008,D0723,CARINDALE RECREATION RESERVE,CARINDALE,MAINS POWER,1,153.1085817,-27.49698455
516132.8283,6959614.148,26,100294941,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0352-N001,D2232,SHERIFF PARK,WAKERLEY,MAINS POWER,1,153.1633137,-27.48698551
500273.474,6964343.047,27,200504674,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2045-N002,D1316,FREE STREET PARK,NEWMARKET,WOOD FIRED,1,153.0027673,-27.44438881
